Country,Impact_Day_0,Impact_Day_30,Impact_Day_90,Impact_Day_180,Impact_Day_365
Lithuania,41.92906865858764,41.6836309107936,41.19705711921049,40.47782527923817,39.038595215665424
Luxembourg,37.7651942914995,37.5441303726373,37.10587704710047,36.458070381077036,35.16176677310602
Madagascar,71.31358001686958,70.89613586591572,70.06856396579275,68.8452838164484,66.39742004115183
Malawi,67.3284891771741,66.93437232042785,66.15304615916119,64.9981244138737,62.68705028657193
Malaysia,44.61849066213633,44.35731000135767,43.83952630449168,43.07416136407239,41.542615942086634
Maldives,44.20268124265028,43.943934581259036,43.43097622328771,42.67274388522336,41.15547126815284
Mali,69.85476569406163,69.4458609195665,68.6352181056115,67.43696178205529,65.03917232268623
Malta,37.81989483550871,37.598510719257106,37.1596226109323,36.51087763709107,35.212696413662556
Marshall Islands,43.0300023966373,42.778120177125146,42.27877039217174,41.54065364434342,40.063633642083886
Mauritania,66.32929654117386,65.94102860018076,65.17129775846148,64.03351570124883,61.756739213437754
Mauritius,43.22814789081902,42.97510579856503,42.473456596823375,41.73194095288499,40.248119536682545
Mexico,45.99753724240231,45.72828413695478,45.19449703374572,44.40547656647921,42.8265948844504
Moldova,45.32652734366038,45.06120208978608,44.53520184760365,43.757691573612405,42.201842542918826
Monaco,35.006230103343526,34.801316172502744,34.395079767656526,33.7945990965323,32.592997906977665
Mongolia,49.03684185133487,48.749797745468264,48.180740458239946,47.339585166231245,45.6563782820104
Montenegro,43.92480939329138,43.66768929416503,43.157955552519375,42.40448969956631,40.89675513168724
Morocco,48.651335147280605,48.36654765956054,47.80196405764586,46.96742156923497,45.2974473385391
Mozambique,67.1023861604099,66.70959282972754,65.93089052359706,64.77984724482393,62.476534183283995
Myanmar,60.94599324196358,60.58923723003832,59.88197794758184,58.83653858389638,56.74454587968519
Namibia,48.603439045834754,48.31893192473487,47.75490414217006,46.921183241318175,45.25285306118994
Nauru,39.53616814770126,39.30473758229588,38.845932656364035,38.16774752437679,36.81065461444438
Nepal,62.00016988983249,61.63724310544537,60.917750431097254,59.85422820904266,57.726050519749094
Netherlands,40.14455883225596,39.9095669657253,39.44370185525756,38.755080671016515,37.37710453635191
New Caledonia,53.078800219311944,52.76809593709867,52.15213298104805,51.24164380571932,49.41969527554707
New Zealand,38.02102378326215,37.79846233020026,37.35724018303709,36.705045136303895,35.39996009083682
Nicaragua,45.42386959720697,45.157974536651054,44.63084466791348,43.85166462995262,42.29247429208857
Niger,80.52822472082796,80.05684134071362,79.1223363568104,77.74099245653744,74.97683275320429
Nigeria,66.46065845368051,66.071621567109,65.30036631128078,64.16033093261224,61.87904540084343
North Macedonia,46.28974758453483,46.01878398442215,45.48160587114156,44.68757296289426,43.09866105785457
Northern Mariana Islands,48.83107433610228,48.54523471955832,47.97856530030024,47.140939649023416,45.46479580730516
Norway,37.49849921933931,37.2789964378921,36.84383802566027,36.2006061234844,34.91345691788718
Oman,48.87161444145154,48.585537517653435,48.018397643090665,47.1800765856077,45.50254119048113
Pakistan,64.62403055200583,64.24574462724064,63.495802866570685,62.38727215297882,60.16902952142824
Palau,39.445951499254974,39.21504902979154,38.75729103998546,38.0806534426355,36.7266572509664
Panama,41.65477353484814,41.4109414124485,40.92755073040348,40.21302402204639,38.78320923529727
